Unnamed: 0;id;id_src;id_passage;date;text;author;toptopic
1;1;CRSANR5L15S2018O1N245;721824;2018-06-02;"L’ordre du jour appelle la suite de la discussion du projet de loi portant évolution du logement, de l’aménagement et du numérique (nos 846, 971, 881, 942, 944).Le temps de parole restant pour la discussion de ce texte est de dix heures trente-quatre minutes pour le groupe La République en marche, dont 505 amendements sont en discussion ; sept heures cinquante-sept minutes pour le groupe Les Républicains, dont 742 amendements sont en discussion ; trois heures cinq minutes pour le groupe du Mouvement démocrate et apparentés, dont 124 amendements sont en discussion ; quatre heures trente-sept minutes pour le groupe UDI, Agir et indépendants, dont 118 amendements sont en discussion ; quatre heures vingt-huit minutes pour le groupe Nouvelle Gauche, dont 189 amendements sont en discussion ; trois heures trente-trois minutes pour le groupe La France insoumise, dont 87 amendements sont en discussion ; deux heures quarante-six minutes pour le groupe de la Gauche démocrate et républicaine, dont 214 amendements sont en discussion ; et de cinquante-neuf secondes pour les députés non inscrits, dont 101 amendements sont en discussion.";M. le président;-
2;2;CRSANR5L15S2018O1N245;721824;2018-06-02;Hier soir, l’Assemblée a poursuivi la discussion des articles du projet de loi, s’arrêtant à l’article 25.;M. le président;-
3;3;CRSANR5L15S2018O1N245;721824;2018-06-02;Plusieurs orateurs sont inscrits sur l’article.La parole est d’abord à M. Gilles Lurton.;M. le président;-
4;4;CRSANR5L15S2018O1N245;606712;2018-06-02;L’article 25 concerne les organismes HLM et leur organisation.;M. Gilles Lurton;z30
5;5;CRSANR5L15S2018O1N245;606712;2018-06-02;Il crée une nouvelle obligation pour les bailleurs sociaux à compter du 1er janvier 2021 : celle de rejoindre un groupe d’organismes de logement social gérant au moins 15 000 logements.Je regrette très vivement cette disposition, dont je ne vois l’utilité ni pour les bailleurs sociaux qui construisent le plus, ni pour obtenir des financements plus complexes et mutualiser davantage certaines trésoreries disponibles.Monsieur le ministre de la cohésion des territoires, vous nous dites pour défendre votre position que ce seuil a été négocié avec les bailleurs sociaux.;M. Gilles Lurton;z30
6;6;CRSANR5L15S2018O1N245;606712;2018-06-02;Je ne peux effectivement que le constater, avec beaucoup de regret.;M. Gilles Lurton;-
7;7;CRSANR5L15S2018O1N245;606712;2018-06-02;Mais en ce qui me concerne, quand je rencontre les bailleurs sociaux de ma région, la Bretagne, dans la circonscription où je suis élu, celle de Saint-Malo, je n’en vois aucun qui me paraisse approuver cette décision.;M. Gilles Lurton;z65
10;10;CRSANR5L15S2018O1N245;606712;2018-06-02;Je dirais même que c’est tout le contraire.Je veux bien reconnaître que la circonscription de Saint-Malo n’est pas la France entière, même si elle est l’une des plus belles.Cela dit, un organisme de logement d’habitation à loyer modéré – quand j’étais président d’organisme HLM, je parlais d’ « habitation locative merveilleuse » – doit parfois faire face à une population qui peut, à certaines étapes de sa vie, plus ou moins longues, rencontrer des difficultés et se trouver dans un tel désarroi qu’elle a impérativement besoin de la proximité du bailleur.Certes – et c’est ce que le Gouvernement m’a répondu en commission –, le projet inclut une clause territoriale visant à garantir le maintien des centres de décision au plus près des territoires.Je viens d’Ille-et-Vilaine.;M. Gilles Lurton;z30
11;11;CRSANR5L15S2018O1N245;606712;2018-06-02;Dans ce département, vous verrez qu’avec un seuil de 15 000 logements, l’organisme métropolitain rennais absorbera rapidement les autres organismes de proximité situés sur le reste du territoire, à Saint-Malo par exemple.;M. Gilles Lurton;z65
12;12;CRSANR5L15S2018O1N245;606712;2018-06-02;Et vous verrez que, très rapidement, pour des raisons de commodité et d’économies financières, une fois les premières étapes de fusion franchies, de nouvelles dispositions viendront supprimer les services de proximité.Pour assurer cette proximité à laquelle nous tenons tous ici, nous avons aussi des organismes de proximité administrés par des élus locaux au plus près de leur territoire.;M. Gilles Lurton;z67
13;13;CRSANR5L15S2018O1N245;606712;2018-06-02;Ces élus connaissent les habitants, leur urbanisme, les potentialités de construction.;M. Gilles Lurton;z05
14;14;CRSANR5L15S2018O1N245;606712;2018-06-02;Ils maîtrisent parfaitement les caractéristiques de la demande locative dans leur territoire.;M. Gilles Lurton;-
15;15;CRSANR5L15S2018O1N245;606712;2018-06-02;Ils savent, à travers le plan local d’urbanisme, imposer aux constructeurs privés des normes de construction de logements locatifs sociaux.;M. Gilles Lurton;z30
16;16;CRSANR5L15S2018O1N245;606712;2018-06-02;Or je suis sûr que, tôt ou tard, et plutôt tôt que tard, le seuil de 15 000 logements éloignera la décision des centres de proximité.Je ne suis pas contre le regroupement, monsieur le ministre, mais je suis favorable au regroupement volontaire.;M. Gilles Lurton;-
17;17;CRSANR5L15S2018O1N245;606712;2018-06-02;Or, en fixant ce seuil, vous allez induire des regroupements forcés ne respectant pas les territoires.;M. Gilles Lurton;-
18;18;CRSANR5L15S2018O1N245;606712;2018-06-02;Pourquoi ne pas préférer des mariages consentis, en organisant les regroupements en fonction des territoires et des affinités entre collectivités ?;M. Gilles Lurton;z67
